Bellek Hçzç,Cihaz Aßçrlçßç,Ekran Boyutu,Ekran Kartç Bellek Tipi,Ekran Kartç Hafçzasç,Ekran Kartç Tipi,Ekran Panel Tipi,òülemci Nesli,òülemci,òületim Sistemi,Kart Okuyucu,Aydçnlatma,Maksimum òülemci Hçzç,Max Ekran ÄîzÅnÅrlÅßÅ,Parmak òzi Okuyucu,Ram (Sistem Belleßi),SSD Kapasitesi,örÅn Modeli,Fiyat
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Windows 11 Pro,Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Windows 11 Home,Var,0,4,3 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Yok (Free Dos),Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5825U,Windows 11 Home,Yok,0,4,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Windows 11 Pro,Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5300U,Yok (Free Dos),Var,0,3,8 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Windows 11 Home,Var,0,4,3 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5625U,Yok (Free Dos),Var,1,4,3 GHz,1920 x 1080,Var,8 GB,256 GB,Notebook,Äok DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5700U,Windows 11 Pro,Yok,1,4,3 GHz,1920 x 1080,Var,24 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5700U,Windows 10 Home,Var,0,4,3 GHz,1920 x 1080,Yok,36 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5700U,Windows 10 Pro,Var,0,4,3 GHz,1920 x 1080,Yok,20 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Windows 11 Pro,Var,0,4,3 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5825U,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Windows 11 Home,Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5500U,Windows 11 Pro,Var,0,4,0 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5700U,Yok (Free Dos),Var,0,4,3 GHz,1920 x 1080,Var,40 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5300U,Windows 11 Home,Var,0,3,8 GHz,1920 x 1080,Yok,16 GB,2 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Windows 11 Home,Var,0,4,5 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Windows 11 Home,Var,0,4,5 GHz,1920 x 1080,Yok,24 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Windows 11 Home,Var,0,4,3 GHz,1920 x 1080,Yok,64 GB,2 TB,Notebook,Orta
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5625U,Yok (Free Dos),Var,1,4,3 GHz,1920 x 1080,Var,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5500U,Windows 11 Home,Var,1,4,0 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Yok (Free Dos),Var,0,4,3 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5700U,Windows 11 Pro,Var,0,4,3 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5700U,Windows 11 Pro,Var,0,4,3 GHz,1920 x 1080,Yok,20 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Windows 11 Home,Var,0,4,3 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5500U,Windows 11 Home,Var,0,4,0 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5625U,Yok (Free Dos),Var,0,4,3 GHz,1920 x 1080,,8 GB,512 GB,Notebook,Äok DÅüÅk
,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5825U,Yok (Free Dos),Yok,0,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Äok DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5675U,Windows 10 Pro,Var,1,4,3 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Orta
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5825U,Yok (Free Dos),Var,1,3,5 GHz,1920 x 1080,Yok,32 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5500U,Yok (Free Dos),Var,0,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5300U,Windows 10 Pro,Yok,0,3,8 GHz,1920 x 1080,Yok,12 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5675U,Windows 10 Pro,Var,1,4,3 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,Orta
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Ubuntu,Var,0,4,3 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5500U,Windows 10 Pro,Yok,0,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5300U,Windows 10 Pro,Yok,0,3,8 GHz,1920 x 1080,Yok,12 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,WVA,5.Nesil,5625U,Ubuntu,Var,0,4,3 GHz,1920 x 1080,Yok,16 GB,256 GB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5500U,Windows 10 Pro,Yok,0,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,2 kg ve Altç,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,5.Nesil,5500U,Yok (Free Dos),Var,0,4 GHz,1920 x 1080,Yok,16 GB,1 TB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5800H,Yok (Free Dos),Yok,0,4,4 GHz,1920 x 1080,Yok,40 GB,1 TB,Notebook,Orta
3200 MHz,1 - 2 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,5.Nesil,5800H,Windows 11 Home,Yok,0,4,4 GHz,1920 x 1080,Yok,16 GB,2 TB,Notebook,Orta
3200 MHz,1 - 2 kg,16 iná,Onboard,Paylaüçmlç,,WVA,5.Nesil,AMD Ryzen 5,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1200,Yok,8 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,13,4 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,6.Nesil,6800HS,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1200,Var,16 GB,512 GB,Notebook,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,6.Nesil,6600H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,6.Nesil,6600H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,6.Nesil,6600H,Yok (Free Dos),Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,6.Nesil,6800H,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,16,1 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,6.Nesil,6800H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Var,32 GB,2 TB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR5,6 GB,Harici Ekran Kartç,IPS,6.Nesil,6800H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR5,6 GB,Harici Ekran Kartç,IPS,6.Nesil,6800H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,6.Nesil,6800H,Yok (Free Dos),Yok,0,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
6400 MHz,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,6.Nesil,1240P,Windows 11 Home,Yok,1,4,5 GHz,1920 x 1080,Yok,16 GB,512 GB,Notebook,Orta
1600 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,6.Nesil,5257U,Windows 10 Home,Var,0,3,1 GHz,1920 x 1080,Yok,4 GB,256 GB,Notebook,Äok DÅüÅk
2666 MHz,1 - 2 kg,14 iná,GDDR4,2 GB,Dahili Ekran Kartç,LED,7.Nesil,1035G16,Windows 10 Pro,,1,2,6 GHz,1920 x 1080,Var,4 GB,256 GB,Ultrabook,DÅüÅk
2666 MHz,1 - 2 kg,14 iná,GDDR4,2 GB,Dahili Ekran Kartç,LED,7.Nesil,1035G16,Windows 10 Pro,,1,2,6 GHz,1920 x 1080,Var,4 GB,256 GB,Ultrabook,DÅüÅk
4800 MHz,1 - 2 kg,14 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,7.Nesil,7735HS,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1200,Yok,40 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,1 - 2 kg,14 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,7.Nesil,7735HS,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1200,Yok,40 GB,2 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,7.Nesil,7735HS,Yok (Free Dos),,1,4,7 GHz,1920 x 1080,,8 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,8 GB,YÅksek Seviye Harici Ekran Kartç,IPS,7.Nesil,7940HS,Yok (Free Dos),,1,5,2 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Äok YÅksek
,2 - 4 kg,14 iná,,Paylaüçmlç,Harici Ekran Kartç,IPS,7.Nesil,1165G7,Windows 11 Home,Yok,1,,1920 x 1080,Yok,16 GB,512 GB,Notebook,DÅüÅk
5500 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,7.Nesil,7320U,Yok (Free Dos),Var,0,4,1 GHz,1366 x 768,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
5500 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,7.Nesil,7520U,Yok (Free Dos),,1,4,3 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,LED,7.Nesil,7520U,Windows 11 Home,Yok,0,4,3 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,Äok DÅüÅk
,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,7.Nesil,7530U,Yok (Free Dos),Var,1,4,5 GHz,1920 x 1080,Yok,8 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,7.Nesil,7Y57,Windows 11 Home,Yok,0,,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
1866 MHz,2 - 4 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,7.Nesil,7Y75,Windows 10 Home,Var,0,3,6 GHz,1920 x 1080,Yok,8 GB,256 GB,Notebook,DÅüÅk
,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,TN,8.Nesil,8565U,Windows 10 Home,Var,1,4,6 GHz,1366 x 768,Yok,20 GB,512 GB,Notebook,DÅüÅk
,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Harici Ekran Kartç,TN,8.Nesil,8565U,Windows 10 Home,Var,1,4,6 GHz,1366 x 768,Yok,20 GB,512 GB,Notebook,DÅüÅk
2666 MHz,2 - 4 kg,16 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,9.Nesil,9880H,macOS,Var,0,4,8 GHz,3072 x 1920,Yok,16 GB,1 TB,Notebook,Äok YÅksek
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,9.Nesil,9300H,Windows 10 Home,Yok,1,4,1 GHz,1920 x 1080,Yok,16 GB,2 TB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,9.Nesil,9300H,Windows 10 Home,Yok,1,4,1 GHz,1920 x 1080,Yok,16 GB,2 TB,Oyun Bilgisayarlarç,Orta
,1 - 2 kg,13 iná,,,,IPS,Apple M2,,macOS,Yok,0,,2560 x 1600,Var,8 GB,512 GB,Notebook,Äok YÅksek
,1 - 2 kg,13 iná,,,,IPS,Apple M2,,macOS,Yok,0,,2560 x 1600,Var,8 GB,512 GB,Notebook,Äok YÅksek
,1 - 2 kg,15 iná,,,,Liquid Retina Ekran,Apple M2,Apple M2,macOS,Yok,0,,2880 x 1864,Var,,512 GB,Notebook,Äok YÅksek
,1 - 2 kg,15 iná,,,,Liquid Retina Ekran,Apple M2,Apple M2,macOS,Yok,0,,2880 x 1864,Var,,256 GB,Notebook,Äok YÅksek
,1 - 2 kg,13 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2,Apple M2,macOS,Yok,0,,2560 x 1600,Var,16 GB,256 GB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Max,Apple M2 Max,macOS,Var,0,,3456 x 2234,Var,32 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Max,Apple M2 Max,macOS,Var,0,,3456 x 2234,Var,32 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Max,Apple M2 Max,macOS,Var,0,,3456 x 2234,Var,32 GB,1 TB,Notebook,Äok YÅksek
,1 - 2 kg,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,Apple M2 Pro,Apple M2,macOS,Yok,0,2 GHz,2560 x 1600,Var,16 GB,256 GB,Notebook,Äok YÅksek
,1 - 2 kg,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,Apple M2 Pro,Apple M2,macOS,Yok,0,2 GHz,2560 x 1600,Var,16 GB,256 GB,Notebook,Äok YÅksek
,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Pro,Apple M2 Pro,macOS,Var,0,,3024 x 1964,Var,16 GB,512 GB,Notebook,Äok YÅksek
,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Pro,Apple M2 Pro,macOS,Var,0,,3024 x 1964,Var,16 GB,512 GB,Notebook,Äok YÅksek
,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Pro,Apple M2 Pro,macOS,Var,0,,3024 x 1964,Var,16 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Pro,Apple M2 Pro,macOS,Var,0,,3456 x 2234,Var,16 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Pro,Apple M2 Pro,macOS,Var,0,,3456 x 2234,Var,16 GB,512 GB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,Apple M2 Pro,Apple M2 Pro,macOS,Var,0,,3456 x 2234,Var,16 GB,512 GB,Notebook,Äok YÅksek
,1 - 2 kg,14 iná,,Paylaüçmlç,,OLED,òntel N Serisi,10. Nesil Intel© Core? i3-10110U iülemci,Windows 11 Home,,0,,1920 x 1080,,8 GB,,òkisi Bir Arada,DÅüÅk
2400 MHz,1 - 2 kg,15,6 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,TN,òntel N Serisi,N4120,Yok (Free Dos),Var,0,2,6 GHz,1366 x 768,Yok,4 GB,0 GB,Notebook,Äok DÅüÅk
,1 - 2 kg,15,6 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,òntel N Serisi,,Windows 11 Home,,0,1,1 GHz,1920 x 1080,Yok,4 GB,128 GB,Notebook,Äok DÅüÅk
,1 - 2 kg,13,5 iná,,,Dahili Ekran Kartç,IPS,M2,Apple M2,macOS,Yok,0,,2560 x 1600,Var,16 GB,512 GB,Notebook,Äok YÅksek
,1 - 2 kg,13,5 iná,,,Dahili Ekran Kartç,IPS,M2,Apple M2,macOS,Yok,0,,2560 x 1600,Var,16 GB,512 GB,Notebook,Äok YÅksek
,1 - 2 kg,13,3 iná,,Paylaüçmlç,Dahili Ekran Kartç,LED,M2,Apple M2,macOS,,0,,2560 x 1600,Var,,256 GB,Notebook,Äok YÅksek
,2 kg ve Altç,13,3 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,IPS,M2,Apple M2,macOS,,1,3,4 GHz,2560 x 1600,Var,16 GB,512 GB,Ultrabook,Äok YÅksek
,1 - 2 kg,14 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,M2 Max,Apple M2,macOS,Var,0,,3024 x 1964,Var,32 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,M2 Max,Apple M2,macOS,Var,0,,3456 x 2234,Var,32 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,M2 Pro,Apple M2,macOS,Var,0,,3456 x 2234,Var,16 GB,1 TB,Notebook,Äok YÅksek
,2 - 4 kg,16 iná,Onboard,Paylaüçmlç,Dahili Ekran Kartç,Liquid Retina XDR,M2 Pro,Apple M2,macOS,Var,0,,3456 x 2234,Var,16 GB,1 TB,Notebook,Äok YÅksek
4800 MHz,1 - 2 kg,14 iná,GDDR6,16 GB,YÅksek Seviye Harici Ekran Kartç,IPS,Ryzen,7940HS,Windows 11 Home,Var,0,5,2 GHz,2560 x 1600,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
4800 MHz,1 - 2 kg,14 iná,GDDR6,16 GB,YÅksek Seviye Harici Ekran Kartç,IPS,Ryzen,7940HS,Windows 11 Home,Var,0,5,2 GHz,2560 x 1600,Yok,16 GB,1 TB,Oyun Bilgisayarlarç,Äok YÅksek
,1 - 2 kg,15,6 iná,GDDR4,2 GB,,TN,Ryzen,5500U,Windows 11 Home,,0,4,0 GHz,1920 x 1080,,8 GB,256 GB,Notebook,DÅüÅk
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,OLED,Ryzen,5900HX,Yok (Free Dos),Var,1,4,6 GHz,1920 x 1080,Var,16 GB,1 TB,Notebook,YÅksek
,1 - 2 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,Ryzen,4600H,Yok (Free Dos),Yok,0,4,0 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,Ryzen,5600H,Windows 11 Home,Yok,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,Ryzen,AMD Ryzen 5,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,Ryzen,AMD Ryzen 5,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
3200 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,IPS,Ryzen,AMD Ryzen 5,Yok (Free Dos),Var,0,4,2 GHz,1920 x 1080,Yok,8 GB,512 GB,Oyun Bilgisayarlarç,DÅüÅk
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,YÅksek Seviye Harici Ekran Kartç,IPS,Ryzen,6800H,Yok (Free Dos),,1,4,7 GHz,1920 x 1080,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,15,6 iná,GDDR6,4 GB,Harici Ekran Kartç,TN,Ryzen,6800H,Windows 11 Home,Yok,0,4,7 GHz,1920 x 1080,,16 GB,512 GB,Oyun Bilgisayarlarç,Orta
4800 MHz,2 - 4 kg,14 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,Ryzen,7735HS,Yok (Free Dos),Yok,1,4,7 GHz,1920 x 1200,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
4800 MHz,2 kg ve Altç,14 iná,GDDR6,6 GB,Harici Ekran Kartç,IPS,Ryzen,7735HS,Yok (Free Dos),Var,0,4,7 GHz,1920 x 1200,Yok,16 GB,512 GB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,Ryzen,5800H,Yok (Free Dos),Var,1,4,4 GHz,3840 x 2160,Var,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
3200 MHz,1 - 2 kg,15,6 iná,GDDR6,6 GB,YÅksek Seviye Harici Ekran Kartç,IPS,Ryzen,5800H,Yok (Free Dos),Var,1,4,4 GHz,3840 x 2160,Var,16 GB,1 TB,Oyun Bilgisayarlarç,YÅksek
